日期,用户ID,地址,请求经度,请求纬度,车辆编号,用户名称
2015/9/30,100001,两广,118.798105,32.048187,14,两广
2015/9/30,100002,津湾,117.2088446,39.1326802,34,津湾
2015/9/30,100003,津湾,117.2088446,39.1326802,35,津湾
2015/9/30,100004,正一味,116.4081032,39.7077964,2,正一味
2015/9/30,100005,良乡,116.13861,39.73499,16,良乡
2015/9/30,100006,良乡店,116.136469,39.736447,28,良乡店
2015/9/30,100007,西红门,116.3268985,39.7881185,10,西红门
2015/9/30,100008,西红门布力,116.3268985,39.7881185,16,西红门布力
2015/9/30,100009,马驹桥,116.495585,39.79728,13,马驹桥
2015/9/30,100010,马驹桥,116.495585,39.79728,13,马驹桥
2015/9/30,100011,怡海,116.30293,39.835861,26,怡海
2015/9/30,100012,十里河,116.459919,39.865424,6,十里河
2015/9/30,100013,垡头店,116.514106,39.8689875,27,垡头店
2015/9/30,100014,武圣,116.4677435,39.8777451,25,武圣
2015/9/30,100015,陶然亭店,116.3785141,39.8785763,33,陶然亭店
2015/9/30,100016,南菜园店,116.352256,39.879653,29,南菜园店
2015/9/30,100017,六里桥店,116.3165856,39.8822249,30,六里桥店
2015/9/30,100018,菜市口店,116.3697174,39.8896849,32,菜市口店
2015/9/30,100019,莲花桥,116.306581,39.893493,26,莲花桥
2015/9/30,100020,双井,116.4771499,39.8947943,6,双井
2015/9/30,100021,双井,116.4771499,39.8947943,17,双井
2015/9/30,100022,西站,116.321563,39.903699,5,西站
2015/9/30,100023,管庄,116.596534,39.912864,21,管庄
2015/9/30,100024,朝阳,116.4948905,39.9147181,17,朝阳
2015/9/30,100025,爱琴海店,116.361947,39.914955,31,爱琴海店
2015/9/30,100026,大悦城,116.5189819,39.923826,8,大悦城
2015/9/30,100027,大悦,116.5189819,39.923826,8,大悦
2015/9/30,100028,大悦城,116.5189819,39.923826,23,大悦城
2015/9/30,100029,龙湖,116.59128,39.924681,11,龙湖
2015/9/30,100030,石佛营,116.499695,39.927875,26,石佛营
2015/9/30,100031,三里屯,116.452729,39.932497,6,三里屯
2015/9/30,100032,簋街,116.4206002,39.9411731,7,簋街
2015/9/30,100033,魏公村,116.320321,39.950951,14,魏公村
2015/9/30,100034,交大店,116.347465,39.953877,20,交大店
2015/9/30,100035,霄云路,116.4665313,39.9607748,24,霄云路
2015/9/30,100036,三元桥店,116.43901,39.967384,1,三元桥店
2015/9/30,100037,联想桥,116.3338,39.969527,21,联想桥
2015/9/30,100038,学清路,116.354069,40.008237,25,学清路
2015/9/30,100039,望京,116.459824,40.013521,11,望京
2015/9/30,100040,望京,116.459824,40.013521,24,望京
2015/9/30,100041,西三旗,116.331115,40.052291,19,西三旗
2015/9/30,100042,天通苑,116.416432,40.064973,25,天通苑
2015/9/30,100043,机场,116.596648,40.082089,24,机场
2015/9/30,100044,北七家,116.414999,40.089152,14,北七家
2015/9/30,100045,石园,116.661988,40.108157,24,石园
2015/9/30,100046,京汉,116.659369,40.13673,24,京汉
2015/9/30,100047,马坡,116.650296,40.173341,24,马坡
2015/9/30,100048,后沙峪,116.546898,40.212049,14,后沙峪
2015/9/30,100049,花样年华,116.2298561,40.2121828,14,花样年华
2015/9/30,100050,昌平,116.235306,40.2210045,14,昌平
2015/10/1,100051,两广,118.798105,32.048187,11,两广
2015/10/1,100052,银河,117.21341,39.090778,34,银河
2015/10/1,100053,正一味,116.4081032,39.7077964,2,正一味
2015/10/1,100054,大兴,116.346697,39.7319411,33,大兴
2015/10/1,100055,西红门,116.3268985,39.7881185,9,西红门
2015/10/1,100056,西红门,116.3268985,39.7881185,15,西红门
2015/10/1,100057,西红门,116.3268985,39.7881185,16,西红门
2015/10/1,100058,马驹桥,116.495585,39.79728,12,马驹桥
2015/10/1,100059,马驹桥,116.495585,39.79728,37,马驹桥
2015/10/1,100060,怡海,116.30293,39.835861,27,怡海
2015/10/1,100061,银泰,116.3858678,39.8441925,28,银泰
2015/10/1,100062,万年,116.31694,39.846292,31,万年
2015/10/1,100063,东铁营,116.43358,39.847564,18,东铁营
2015/10/1,100064,云景,116.6655835,39.8761795,31,云景
2015/10/1,100065,武圣,116.4677435,39.8777451,26,武圣
2015/10/1,100066,翠屏,116.643659,39.890934,32,翠屏
2015/10/1,100067,莲花桥,116.306581,39.893493,27,莲花桥
2015/10/1,100068,双井,116.4771499,39.8947943,6,双井
2015/10/1,100069,双井,116.4771499,39.8947943,18,双井
2015/10/1,100070,崇文门,116.419059,39.898635,39,崇文门
2015/10/1,100071,西站,116.321563,39.903699,5,西站
2015/10/1,100072,万达,116.470203,39.9099079,34,万达
2015/10/1,100073,朝阳,116.4948905,39.9147181,17,朝阳
2015/10/1,100074,爱琴海店,116.361947,39.914955,29,爱琴海店
2015/10/1,100075,未来汇,116.494571,39.918297,14,未来汇
2015/10/1,100076,大悦城,116.5189819,39.923826,7,大悦城
2015/10/1,100077,大悦城,116.5189819,39.923826,7,大悦城
2015/10/1,100078,大悦城,116.5189819,39.923826,7,大悦城
2015/10/1,100079,大悦城,116.5189819,39.923826,24,大悦城
2015/10/1,100080,青年,116.517,39.924447,30,青年
2015/10/1,100081,龙湖,116.59128,39.924681,10,龙湖
2015/10/1,100082,物资,116.6395801,39.9251539,30,物资
2015/10/1,100083,石佛营,116.499695,39.927875,27,石佛营
2015/10/1,100084,三里屯,116.452729,39.932497,6,三里屯
2015/10/1,100085,西直门,116.352371,39.940926,7,西直门
2015/10/1,100086,簋街,116.4206002,39.9411731,7,簋街
2015/10/1,100087,燕郊,116.8320538,39.9499537,27,燕郊
2015/10/1,100088,魏公村,116.320321,39.950951,11,魏公村
2015/10/1,100089,交大店,116.347465,39.953877,21,交大店
2015/10/1,100090,霄云路,116.4665313,39.9607748,25,霄云路
2015/10/1,100091,三元桥店,116.43901,39.967384,1,三元桥店
2015/10/1,100092,联想桥,116.3338,39.969527,22,联想桥
2015/10/1,100093,拼豆,116.517,39.9994112,9,拼豆
2015/10/1,100094,学清路,116.354069,40.008237,26,学清路
2015/10/1,100095,望京,116.459824,40.013521,10,望京
2015/10/1,100096,望京,116.459824,40.013521,25,望京
2015/10/1,100097,五彩城,116.336395,40.0306158,11,五彩城
2015/10/1,100098,西三旗,116.331115,40.052291,20,西三旗
2015/10/1,100099,龙德,116.415866,40.060756,28,龙德
2015/10/1,100100,天通苑,116.416432,40.064973,26,天通苑
2015/10/1,100101,机场,116.596648,40.082089,25,机场
2015/10/1,100102,北七家,116.414999,40.089152,14,北七家
2015/10/1,100103,石园,116.661988,40.108157,25,石园
2015/10/1,100104,京汉,116.659369,40.13673,25,京汉
2015/10/1,100105,马坡,116.650296,40.173341,25,马坡
2015/10/1,100106,后沙峪,116.546898,40.212049,14,后沙峪
2015/10/1,100107,昌平,116.235306,40.2210045,14,昌平
2015/10/1,100108,昌平,116.235306,40.2210045,13,昌平
2015/10/1,100109,旺洋,116.637122,40.324272,36,旺洋
2015/10/2,100110,两广,118.798105,32.048187,12,两广
2015/10/2,100111,正一味,116.4081032,39.7077964,2,正一味
2015/10/2,100112,良乡,116.13861,39.73499,14,良乡
2015/10/2,100113,良乡,116.13861,39.73499,33,良乡
2015/10/2,100114,良乡店,116.136469,39.736447,26,良乡店
2015/10/2,100115,西红门,116.3268985,39.7881185,8,西红门
2015/10/2,100116,西红门布力,116.3268985,39.7881185,14,西红门布力
2015/10/2,100117,马驹桥,116.495585,39.79728,11,马驹桥
2015/10/2,100118,马驹桥,116.495585,39.79728,11,马驹桥
2015/10/2,100119,马驹桥,116.495585,39.79728,11,马驹桥
2015/10/2,100120,怡海,116.30293,39.835861,24,怡海
2015/10/2,100121,垡头店,116.514106,39.8689875,25,垡头店
2015/10/2,100122,垡头店,116.514106,39.8689875,25,垡头店
2015/10/2,100123,武圣,116.4677435,39.8777451,23,武圣
2015/10/2,100124,陶然亭店,116.3785141,39.8785763,33,陶然亭店
2015/10/2,100125,南菜园店,116.352256,39.879653,27,南菜园店
2015/10/2,100126,南菜园店,116.352256,39.879653,27,南菜园店
2015/10/2,100127,六里桥店,116.3165856,39.8822249,28,六里桥店
2015/10/2,100128,六里桥店,116.3165856,39.8822249,32,六里桥店
2015/10/2,100129,菜市口店,116.3697174,39.8896849,30,菜市口店
2015/10/2,100130,菜市口店,116.3697174,39.8896849,30,菜市口店
2015/10/2,100131,莲花桥,116.306581,39.893493,24,莲花桥
2015/10/2,100132,双井,116.4771499,39.8947943,15,双井
2015/10/2,100133,管庄,116.596534,39.912864,21,管庄
2015/10/2,100134,远洋,116.491104,39.913409,31,远洋
2015/10/2,100135,朝阳,116.4948905,39.9147181,17,朝阳
2015/10/2,100136,爱琴海店,116.361947,39.914955,29,爱琴海店
2015/10/2,100137,大悦城,116.5189819,39.923826,6,大悦城
2015/10/2,100138,大悦,116.5189819,39.923826,6,大悦
2015/10/2,100139,大悦城,116.5189819,39.923826,21,大悦城
2015/10/2,100140,龙湖,116.59128,39.924681,9,龙湖
2015/10/2,100141,石佛营,116.499695,39.927875,24,石佛营
2015/10/2,100142,三里屯,116.452729,39.932497,6,三里屯
2015/10/2,100143,簋街,116.4206002,39.9411731,7,簋街
2015/10/2,100144,魏公村,116.320321,39.950951,12,魏公村
2015/10/2,100145,交大店,116.347465,39.953877,18,交大店
2015/10/2,100146,霄云路,116.4665313,39.9607748,22,霄云路
2015/10/2,100147,三元桥店,116.43901,39.967384,1,三元桥店
2015/10/2,100148,联想桥,116.3338,39.969527,19,联想桥
2015/10/2,100149,拼豆,116.517,39.9994112,9,拼豆
2015/10/2,100150,学清路,116.354069,40.008237,23,学清路
2015/10/2,100151,望京,116.459824,40.013521,9,望京
2015/10/2,100152,望京,116.459824,40.013521,22,望京
2015/10/2,100153,西三旗,116.331115,40.052291,17,西三旗
2015/10/2,100154,天通苑,116.416432,40.064973,23,天通苑
2015/10/2,100155,机场,116.596648,40.082089,22,机场
2015/10/2,100156,北七家,116.414999,40.089152,14,北七家
2015/10/2,100157,石园,116.661988,40.108157,22,石园
2015/10/2,100158,京汉,116.659369,40.13673,22,京汉
2015/10/2,100159,马坡,116.650296,40.173341,22,马坡
2015/10/2,100160,后沙峪,116.546898,40.212049,14,后沙峪
